condition,task,day,group,freq_hz,power_uV2_per_Hz
baseline,ColorCounting,1,all,24.0,0.1902963605093313
baseline,ColorCounting,1,all,24.5,0.2176795616825335
baseline,ColorCounting,1,all,25.0,0.156020844512678
baseline,ColorCounting,1,all,25.5,0.2346024629630372
baseline,ColorCounting,1,all,26.0,0.2576408971937147
baseline,ColorCounting,1,all,26.5,0.2849850362446668
baseline,ColorCounting,1,all,27.0,0.300280905822977
baseline,ColorCounting,1,all,27.5,0.2522426922968513
baseline,ColorCounting,1,all,28.0,0.1894095312169895
baseline,ColorCounting,1,all,28.5,0.1795449769193406
baseline,ColorCounting,1,all,29.0,0.1595406654888216
baseline,ColorCounting,1,all,29.5,0.1497656209314699
baseline,ColorCounting,1,all,30.0,0.1471626583714088
baseline,ColorCounting,1,all,30.5,0.1573738457907112
baseline,ColorCounting,1,all,31.0,0.1124027215352453
baseline,ColorCounting,1,all,31.5,0.0995155995384534
baseline,ColorCounting,1,all,32.0,0.1107624445800656
baseline,ColorCounting,1,all,32.5,0.1142362152064653
baseline,ColorCounting,1,all,33.0,0.1376725559727752
baseline,ColorCounting,1,all,33.5,0.0842475630686487
baseline,ColorCounting,1,all,34.0,0.0950119343636657
baseline,ColorCounting,1,all,34.5,0.0900938875298165
baseline,ColorCounting,1,all,35.0,0.0641098432797785
baseline,ColorCounting,1,all,35.5,0.0502400475668054
baseline,ColorCounting,1,all,36.0,0.0503306980321045
baseline,ColorCounting,1,all,36.5,0.0300004979800046
baseline,ColorCounting,1,all,37.0,0.0552323009616405
baseline,ColorCounting,1,all,37.5,0.0505065650722655
baseline,ColorCounting,1,all,38.0,0.0277164017004821
baseline,ColorCounting,1,all,38.5,0.0221821118939861
baseline,ColorCounting,1,all,39.0,0.0263579527569182
baseline,ColorCounting,1,all,39.5,0.0220606608051352
baseline,ColorCounting,1,all,40.0,0.0146915569653659
baseline,ColorCounting,2,all,0.5,1.6661661257420488
baseline,ColorCounting,2,all,1.0,39.68591130024714
baseline,ColorCounting,2,all,1.5,76.81193802834768
baseline,ColorCounting,2,all,2.0,67.48504051235481
baseline,ColorCounting,2,all,2.5,48.2118753763919
baseline,ColorCounting,2,all,3.0,37.874367119885655
baseline,ColorCounting,2,all,3.5,23.752868396890428
baseline,ColorCounting,2,all,4.0,16.949934481773397
baseline,ColorCounting,2,all,4.5,9.426456291498194
baseline,ColorCounting,2,all,5.0,7.078426827488445
baseline,ColorCounting,2,all,5.5,3.847404104213204
baseline,ColorCounting,2,all,6.0,3.42416130357255
baseline,ColorCounting,2,all,6.5,2.626533911378887
baseline,ColorCounting,2,all,7.0,3.5134753221648656
baseline,ColorCounting,2,all,7.5,1.5396721210216335
baseline,ColorCounting,2,all,8.0,1.6476618216445913
baseline,ColorCounting,2,all,8.5,1.0808210412731878
baseline,ColorCounting,2,all,9.0,1.243510133159141
baseline,ColorCounting,2,all,9.5,1.0752411144389349
baseline,ColorCounting,2,all,10.0,1.2903881172518026
baseline,ColorCounting,2,all,10.5,1.3101721586036796
baseline,ColorCounting,2,all,11.0,0.8316025576912378
baseline,ColorCounting,2,all,11.5,0.6544715219257535
baseline,ColorCounting,2,all,12.0,0.6113768445834012
baseline,ColorCounting,2,all,12.5,0.3653058063868734
baseline,ColorCounting,2,all,13.0,0.4245943662872925
baseline,ColorCounting,2,all,13.5,0.4542544037897594
baseline,ColorCounting,2,all,14.0,0.2654462950977133
baseline,ColorCounting,2,all,14.5,0.2984453218943116
baseline,ColorCounting,2,all,15.0,0.344537607815327
baseline,ColorCounting,2,all,15.5,0.2535777595996269
baseline,ColorCounting,2,all,16.0,0.2744591473433027
baseline,ColorCounting,2,all,16.5,0.2813705052981977
baseline,ColorCounting,2,all,17.0,0.3989802677698388
baseline,ColorCounting,2,all,17.5,0.3120459198842889
baseline,ColorCounting,2,all,18.0,0.4091127720396504
baseline,ColorCounting,2,all,18.5,0.4074030003588778
baseline,ColorCounting,2,all,19.0,0.3216663975305486
baseline,ColorCounting,2,all,19.5,0.3129106492978969
baseline,ColorCounting,2,all,20.0,0.3147743616349558
baseline,ColorCounting,2,all,20.5,0.3450063442233585
baseline,ColorCounting,2,all,21.0,0.3341064040135013
baseline,ColorCounting,2,all,21.5,0.3282550614487576
baseline,ColorCounting,2,all,22.0,0.2328362728460195
baseline,ColorCounting,2,all,22.5,0.2105080438675374
baseline,ColorCounting,2,all,23.0,0.2077853043346137
baseline,ColorCounting,2,all,23.5,0.2393147715359248
baseline,ColorCounting,2,all,24.0,0.1902963605093313
baseline,ColorCounting,2,all,24.5,0.2176795616825335
baseline,ColorCounting,2,all,25.0,0.156020844512678
baseline,ColorCounting,2,all,25.5,0.2346024629630372
baseline,ColorCounting,2,all,26.0,0.2576408971937147
baseline,ColorCounting,2,all,26.5,0.2849850362446668
baseline,ColorCounting,2,all,27.0,0.300280905822977
baseline,ColorCounting,2,all,27.5,0.2522426922968513
baseline,ColorCounting,2,all,28.0,0.1894095312169895
baseline,ColorCounting,2,all,28.5,0.1795449769193406
baseline,ColorCounting,2,all,29.0,0.1595406654888216
baseline,ColorCounting,2,all,29.5,0.1497656209314699
baseline,ColorCounting,2,all,30.0,0.1471626583714088
baseline,ColorCounting,2,all,30.5,0.1573738457907112
baseline,ColorCounting,2,all,31.0,0.1124027215352453
baseline,ColorCounting,2,all,31.5,0.0995155995384534
baseline,ColorCounting,2,all,32.0,0.1107624445800656
baseline,ColorCounting,2,all,32.5,0.1142362152064653
baseline,ColorCounting,2,all,33.0,0.1376725559727752
baseline,ColorCounting,2,all,33.5,0.0842475630686487
baseline,ColorCounting,2,all,34.0,0.0950119343636657
baseline,ColorCounting,2,all,34.5,0.0900938875298165
baseline,ColorCounting,2,all,35.0,0.0641098432797785
baseline,ColorCounting,2,all,35.5,0.0502400475668054
baseline,ColorCounting,2,all,36.0,0.0503306980321045
baseline,ColorCounting,2,all,36.5,0.0300004979800046
baseline,ColorCounting,2,all,37.0,0.0552323009616405
baseline,ColorCounting,2,all,37.5,0.0505065650722655
baseline,ColorCounting,2,all,38.0,0.0277164017004821
baseline,ColorCounting,2,all,38.5,0.0221821118939861
baseline,ColorCounting,2,all,39.0,0.0263579527569182
baseline,ColorCounting,2,all,39.5,0.0220606608051352
baseline,ColorCounting,2,all,40.0,0.0146915569653659
baseline,ColorCounting,3,all,0.5,1.0072442941093456
baseline,ColorCounting,3,all,1.0,18.65217816003969
baseline,ColorCounting,3,all,1.5,26.483515081986248
baseline,ColorCounting,3,all,2.0,35.26899465476109
baseline,ColorCounting,3,all,2.5,25.628484127200487
baseline,ColorCounting,3,all,3.0,18.854113123254034
baseline,ColorCounting,3,all,3.5,4.1103594752461055
baseline,ColorCounting,3,all,4.0,6.407905824399197
baseline,ColorCounting,3,all,4.5,3.974233733582605
baseline,ColorCounting,3,all,5.0,1.935803535156704
baseline,ColorCounting,3,all,5.5,2.50718794425765
baseline,ColorCounting,3,all,6.0,1.436486323146375
baseline,ColorCounting,3,all,6.5,1.4057935010602556
baseline,ColorCounting,3,all,7.0,0.7599368487915521
baseline,ColorCounting,3,all,7.5,0.9708776657014756
baseline,ColorCounting,3,all,8.0,0.8879874113881219
baseline,ColorCounting,3,all,8.5,0.6006600038575451
baseline,ColorCounting,3,all,9.0,0.4383233151967958
baseline,ColorCounting,3,all,9.5,0.3198313874069611
baseline,ColorCounting,3,all,10.0,0.3961614974831763
baseline,ColorCounting,3,all,10.5,0.5939687742346179
baseline,ColorCounting,3,all,11.0,0.5204132329321991
baseline,ColorCounting,3,all,11.5,0.3707954110489788
baseline,ColorCounting,3,all,12.0,0.1849131502389986
baseline,ColorCounting,3,all,12.5,0.2219277031448577
baseline,ColorCounting,3,all,13.0,0.2772021193415643
baseline,ColorCounting,3,all,13.5,0.1960375965774993
baseline,ColorCounting,3,all,14.0,0.1184659594666185
baseline,ColorCounting,3,all,14.5,0.145531857389102
baseline,ColorCounting,3,all,15.0,0.1792926921056538
baseline,ColorCounting,3,all,15.5,0.0901385153733565
baseline,ColorCounting,3,all,16.0,0.1029468992349489
baseline,ColorCounting,3,all,16.5,0.0894584137644634
baseline,ColorCounting,3,all,17.0,0.0830140666677036
baseline,ColorCounting,3,all,17.5,0.0659697975690581
baseline,ColorCounting,3,all,18.0,0.0899771568488864
baseline,ColorCounting,3,all,18.5,0.1518367564469264
baseline,ColorCounting,3,all,19.0,0.1374516654763809
baseline,ColorCounting,3,all,19.5,0.1384448306866468
baseline,ColorCounting,3,all,20.0,0.0933997172286679
baseline,ColorCounting,3,all,20.5,0.0531146408579176
baseline,ColorCounting,3,all,21.0,0.1435647309462208
baseline,ColorCounting,3,all,21.5,0.1286874341673349
baseline,ColorCounting,3,all,22.0,0.1026801162411246
baseline,ColorCounting,3,all,22.5,0.108952842037765
baseline,ColorCounting,3,all,23.0,0.1346860133842828
baseline,ColorCounting,3,all,23.5,0.0811628063295893
baseline,ColorCounting,3,all,24.0,0.1256265323955492
baseline,ColorCounting,3,all,24.5,0.0543159706162719
baseline,ColorCounting,3,all,25.0,0.060658511808528
baseline,ColorCounting,3,all,25.5,0.0539425668861592
baseline,ColorCounting,3,all,26.0,0.0517732860444025
baseline,ColorCounting,3,all,26.5,0.0297644394094732
baseline,ColorCounting,3,all,27.0,0.0364900151022136
baseline,ColorCounting,3,all,27.5,0.0712817652416548
baseline,ColorCounting,3,all,28.0,0.0486283607460783
baseline,ColorCounting,3,all,28.5,0.0550540335999798
baseline,ColorCounting,3,all,29.0,0.0459102564556576
baseline,ColorCounting,3,all,29.5,0.0222023019428811
baseline,ColorCounting,3,all,30.0,0.0230361431809307
baseline,ColorCounting,3,all,30.5,0.0453270345101337
baseline,ColorCounting,3,all,31.0,0.0483683405929208
baseline,ColorCounting,3,all,31.5,0.0227219797281247
baseline,ColorCounting,3,all,32.0,0.0286287680537515
baseline,ColorCounting,3,all,32.5,0.0459189925948538
baseline,ColorCounting,3,all,33.0,0.0230411060009139
baseline,ColorCounting,3,all,33.5,0.0167111303421075
baseline,ColorCounting,3,all,34.0,0.0168012743162125
baseline,ColorCounting,3,all,34.5,0.0288849389152057
baseline,ColorCounting,3,all,35.0,0.0201487307302964
baseline,ColorCounting,3,all,35.5,0.0135241304052222
baseline,ColorCounting,3,all,36.0,0.0116260841301703
baseline,ColorCounting,3,all,36.5,0.0043238529829569
baseline,ColorCounting,3,all,37.0,0.007109546990884
baseline,ColorCounting,3,all,37.5,0.0056128526975412
baseline,ColorCounting,3,all,38.0,0.0088004499220177
baseline,ColorCounting,3,all,38.5,0.0053467245594518
baseline,ColorCounting,3,all,39.0,0.0048732750023606
baseline,ColorCounting,3,all,39.5,0.0031888607969392
baseline,ColorCounting,3,all,40.0,0.0029469840520116
baseline,ColorCounting,4,all,0.5,0.8914575065171498
baseline,ColorCounting,4,all,1.0,12.983049607057556
baseline,ColorCounting,4,all,1.5,30.522921344486555
baseline,ColorCounting,4,all,2.0,11.886006166340511
baseline,ColorCounting,4,all,2.5,2.9914135919643883
baseline,ColorCounting,4,all,3.0,4.213612707004296
baseline,ColorCounting,4,all,3.5,3.0679209158423624
baseline,ColorCounting,4,all,4.0,1.2654858160288884
baseline,ColorCounting,4,all,4.5,2.2834561459361087
baseline,ColorCounting,4,all,5.0,1.7410008255044578
baseline,ColorCounting,4,all,5.5,1.8677817645883656
baseline,ColorCounting,4,all,6.0,1.1378194631164191
baseline,ColorCounting,4,all,6.5,0.6384650149171891
baseline,ColorCounting,4,all,7.0,0.6576945269073772
baseline,ColorCounting,4,all,7.5,0.6409981495718642
baseline,ColorCounting,4,all,8.0,0.4756302987614317
baseline,ColorCounting,4,all,8.5,0.4377437761098375
baseline,ColorCounting,4,all,9.0,0.4939765160171205
baseline,ColorCounting,4,all,9.5,0.3315500377415561
baseline,ColorCounting,4,all,10.0,0.3873703869714994
baseline,ColorCounting,4,all,10.5,0.4158344610844114
baseline,ColorCounting,4,all,11.0,0.2301874724795049
baseline,ColorCounting,4,all,11.5,0.1387420317816124
baseline,ColorCounting,4,all,12.0,0.2954049051611451
baseline,ColorCounting,4,all,12.5,0.249735560048203
baseline,ColorCounting,4,all,13.0,0.2551512776383633
baseline,ColorCounting,4,all,13.5,0.1794545875250643
baseline,ColorCounting,4,all,14.0,0.1191787222421875
baseline,ColorCounting,4,all,14.5,0.2671063424666658
baseline,ColorCounting,4,all,15.0,0.1885905522071608
baseline,ColorCounting,4,all,15.5,0.223615907275918
baseline,ColorCounting,4,all,16.0,0.2261885606288904
baseline,ColorCounting,4,all,16.5,0.1879285794093726
baseline,ColorCounting,4,all,17.0,0.2450692673133755
baseline,ColorCounting,4,all,17.5,0.216068378678107
baseline,ColorCounting,4,all,18.0,0.1457646997763474
baseline,ColorCounting,4,all,18.5,0.1095154662227386
baseline,ColorCounting,4,all,19.0,0.1660630388931027
baseline,ColorCounting,4,all,19.5,0.2274380679729539
baseline,ColorCounting,4,all,20.0,0.1154624771405226
baseline,ColorCounting,4,all,20.5,0.2598757478039736
baseline,ColorCounting,4,all,21.0,0.1550451752026103
baseline,ColorCounting,4,all,21.5,0.101389095669862
baseline,ColorCounting,4,all,22.0,0.0997048267722767
baseline,ColorCounting,4,all,22.5,0.1536966824782572
baseline,ColorCounting,4,all,23.0,0.2104057029770344
baseline,ColorCounting,4,all,23.5,0.1098386219571635
baseline,ColorCounting,4,all,24.0,0.1202419578877095
baseline,ColorCounting,4,all,24.5,0.140599885702352
baseline,ColorCounting,4,all,25.0,0.1187944974900413
baseline,ColorCounting,4,all,25.5,0.091096626302241
baseline,ColorCounting,4,all,26.0,0.0871713014946045
baseline,ColorCounting,4,all,26.5,0.118081340997549
baseline,ColorCounting,4,all,27.0,0.1191431231181761
baseline,ColorCounting,4,all,27.5,0.108431542892893
baseline,ColorCounting,4,all,28.0,0.0553774676609624
baseline,ColorCounting,4,all,28.5,0.0470304943673931
baseline,ColorCounting,4,all,29.0,0.0544009264391888
baseline,ColorCounting,4,all,29.5,0.0628770883158467
baseline,ColorCounting,4,all,30.0,0.0626456386937818
baseline,ColorCounting,4,all,30.5,0.0358915585785596
baseline,ColorCounting,4,all,31.0,0.0438042128806129
baseline,ColorCounting,4,all,31.5,0.0490547368549848
baseline,ColorCounting,4,all,32.0,0.0454872107288834
baseline,ColorCounting,4,all,32.5,0.035340082802504
baseline,ColorCounting,4,all,33.0,0.0413351120038647
baseline,ColorCounting,4,all,33.5,0.0729939592523538
baseline,ColorCounting,4,all,34.0,0.0604201448703693
baseline,ColorCounting,4,all,34.5,0.0425903457099747
baseline,ColorCounting,4,all,35.0,0.0279455630121061
baseline,ColorCounting,4,all,35.5,0.0185416193792156
baseline,ColorCounting,4,all,36.0,0.0217765952274049
baseline,ColorCounting,4,all,36.5,0.0233696981151991
baseline,ColorCounting,4,all,37.0,0.0235768131208147
baseline,ColorCounting,4,all,37.5,0.0202621313824516
baseline,ColorCounting,4,all,38.0,0.0228042628038875
baseline,ColorCounting,4,all,38.5,0.0215185432455146
baseline,ColorCounting,4,all,39.0,0.0114645984733641
baseline,ColorCounting,4,all,39.5,0.0068848107032917
baseline,ColorCounting,4,all,40.0,0.0066452390875386
baseline,ColorCounting,5,all,0.5,0.2836736574816521
baseline,ColorCounting,5,all,1.0,4.850608566133844
baseline,ColorCounting,5,all,1.5,10.81027004971846
baseline,ColorCounting,5,all,2.0,8.443019335991943
baseline,ColorCounting,5,all,2.5,4.8214142892985015
baseline,ColorCounting,5,all,3.0,3.647361980389851
baseline,ColorCounting,5,all,3.5,3.4151147544918503
baseline,ColorCounting,5,all,4.0,1.805383243554127
baseline,ColorCounting,5,all,4.5,1.8579287960991129
baseline,ColorCounting,5,all,5.0,1.0571150254282615
baseline,ColorCounting,5,all,5.5,0.6941312501469015
baseline,ColorCounting,5,all,6.0,0.6694906118169399
baseline,ColorCounting,5,all,6.5,0.7178716246606902
baseline,ColorCounting,5,all,7.0,0.3771866459299739
baseline,ColorCounting,5,all,7.5,0.4719311949376532
baseline,ColorCounting,5,all,8.0,0.4345260907245861
baseline,ColorCounting,5,all,8.5,0.3958939375474043
baseline,ColorCounting,5,all,9.0,0.2045048703776171
baseline,ColorCounting,5,all,9.5,0.2123204958375274
baseline,ColorCounting,5,all,10.0,0.1765924079866954
baseline,ColorCounting,5,all,10.5,0.2149736099420583
baseline,ColorCounting,5,all,11.0,0.1731307411123817
baseline,ColorCounting,5,all,11.5,0.1577240851037396
baseline,ColorCounting,5,all,12.0,0.1505478624186156
baseline,ColorCounting,5,all,12.5,0.2027360714439976
baseline,ColorCounting,5,all,13.0,0.1947028179591837
baseline,ColorCounting,5,all,13.5,0.149363864766248
baseline,ColorCounting,5,all,14.0,0.1772437165163182
baseline,ColorCounting,5,all,14.5,0.1347047459131234
baseline,ColorCounting,5,all,15.0,0.1391785590963435
baseline,ColorCounting,5,all,15.5,0.1638473931523586
baseline,ColorCounting,5,all,16.0,0.1587933494906966
baseline,ColorCounting,5,all,16.5,0.1164818544452072
baseline,ColorCounting,5,all,17.0,0.1616016895296106
baseline,ColorCounting,5,all,17.5,0.1114890083399569
baseline,ColorCounting,5,all,18.0,0.1488130401742992
baseline,ColorCounting,5,all,18.5,0.1324368214537586
baseline,ColorCounting,5,all,19.0,0.1601254103028659
baseline,ColorCounting,5,all,19.5,0.1505858642466873
baseline,ColorCounting,5,all,20.0,0.2014463944740045
baseline,ColorCounting,5,all,20.5,0.1174622194641883
baseline,ColorCounting,5,all,21.0,0.149854614624337
baseline,ColorCounting,5,all,21.5,0.1415272381112541
baseline,ColorCounting,5,all,22.0,0.1157964532404802
baseline,ColorCounting,5,all,22.5,0.1032675994067327
baseline,ColorCounting,5,all,23.0,0.1008595983825514
baseline,ColorCounting,5,all,23.5,0.1299146532378766
baseline,ColorCounting,5,all,24.0,0.1442252148181583
baseline,ColorCounting,5,all,24.5,0.1036684216393964
baseline,ColorCounting,5,all,25.0,0.1264277576702877
baseline,ColorCounting,5,all,25.5,0.1200061441708907
baseline,ColorCounting,5,all,26.0,0.0730111936899786
baseline,ColorCounting,5,all,26.5,0.0874789164216567
baseline,ColorCounting,5,all,27.0,0.0756684662733082
baseline,ColorCounting,5,all,27.5,0.0622144433774518
baseline,ColorCounting,5,all,28.0,0.0813421321946878
baseline,ColorCounting,5,all,28.5,0.066696592600454
baseline,ColorCounting,5,all,29.0,0.0548943796730379
baseline,ColorCounting,5,all,29.5,0.0611361106102172
baseline,ColorCounting,5,all,30.0,0.0646740854496761
baseline,ColorCounting,5,all,30.5,0.0763114983647157
baseline,ColorCounting,5,all,31.0,0.0603282925844885
baseline,ColorCounting,5,all,31.5,0.0552654109602863
baseline,ColorCounting,5,all,32.0,0.0686616447375891
baseline,ColorCounting,5,all,32.5,0.0355928948312596
baseline,ColorCounting,5,all,33.0,0.0307920547716455
baseline,ColorCounting,5,all,33.5,0.0461318265099585
baseline,ColorCounting,5,all,34.0,0.0723079857690819
baseline,ColorCounting,5,all,34.5,0.0411765337144313
baseline,ColorCounting,5,all,35.0,0.0315597293372651
baseline,ColorCounting,5,all,35.5,0.030451289228694
baseline,ColorCounting,5,all,36.0,0.0299881054733411
baseline,ColorCounting,5,all,36.5,0.0285207835875162
baseline,ColorCounting,5,all,37.0,0.0163225664360798
baseline,ColorCounting,5,all,37.5,0.0119467135725211
baseline,ColorCounting,5,all,38.0,0.0088168044272132
baseline,ColorCounting,5,all,38.5,0.0093667527122575
baseline,ColorCounting,5,all,39.0,0.009503242070589
baseline,ColorCounting,5,all,39.5,0.0081846364882971
baseline,ColorCounting,5,all,40.0,0.007825895847713
baseline,ColorCounting,6,all,0.5,0.3580672782042294
baseline,ColorCounting,6,all,1.0,4.5485881270850985
baseline,ColorCounting,6,all,1.5,9.725900195932777
baseline,ColorCounting,6,all,2.0,6.926069624262837
baseline,ColorCounting,6,all,2.5,4.603944929751195
baseline,ColorCounting,6,all,3.0,3.768561056188668
baseline,ColorCounting,6,all,3.5,2.39983944115813
baseline,ColorCounting,6,all,4.0,1.975412054163873
baseline,ColorCounting,6,all,4.5,1.925637608947914
baseline,ColorCounting,6,all,5.0,1.5786601008494232
baseline,ColorCounting,6,all,5.5,1.0275714537093854
baseline,ColorCounting,6,all,6.0,1.6164262391230737
baseline,ColorCounting,6,all,6.5,1.0183755406172696
baseline,ColorCounting,6,all,7.0,1.174860589596047
baseline,ColorCounting,6,all,7.5,0.6605550990554632
baseline,ColorCounting,6,all,8.0,0.4997067258089032
baseline,ColorCounting,6,all,8.5,0.5199811947544031
baseline,ColorCounting,6,all,9.0,0.8076271345149799
baseline,ColorCounting,6,all,9.5,0.7944905156207287
baseline,ColorCounting,6,all,10.0,0.5803942179186302
baseline,ColorCounting,6,all,10.5,0.4156613551083086
baseline,ColorCounting,6,all,11.0,0.5335448693932168
baseline,ColorCounting,6,all,11.5,0.4225114801481625
baseline,ColorCounting,6,all,12.0,0.3485168383237127
baseline,ColorCounting,6,all,12.5,0.459560849233702
baseline,ColorCounting,6,all,13.0,0.4122183166014866
baseline,ColorCounting,6,all,13.5,0.2606684450194061
baseline,ColorCounting,6,all,14.0,0.3007039506544643
baseline,ColorCounting,6,all,14.5,0.3167731631637907
baseline,ColorCounting,6,all,15.0,0.3176086688793597
baseline,ColorCounting,6,all,15.5,0.2193944343257274
baseline,ColorCounting,6,all,16.0,0.276302864043518
baseline,ColorCounting,6,all,16.5,0.2828524742412702
baseline,ColorCounting,6,all,17.0,0.2705574085022338
baseline,ColorCounting,6,all,17.5,0.3835688853156133
baseline,ColorCounting,6,all,18.0,0.2631422592123049
baseline,ColorCounting,6,all,18.5,0.2291097335966539
baseline,ColorCounting,6,all,19.0,0.2335437187380514
baseline,ColorCounting,6,all,19.5,0.3868776485630457
baseline,ColorCounting,6,all,20.0,0.3162780403315098
baseline,ColorCounting,6,all,20.5,0.3106099151030195
baseline,ColorCounting,6,all,21.0,0.2650095935649745
baseline,ColorCounting,6,all,21.5,0.3018914682942352
baseline,ColorCounting,6,all,22.0,0.3164339453005277
baseline,ColorCounting,6,all,22.5,0.2603173352514605
baseline,ColorCounting,6,all,23.0,0.3350098552136555
baseline,ColorCounting,6,all,23.5,0.4657676832181541
baseline,ColorCounting,6,all,24.0,0.3352323296093843
baseline,ColorCounting,6,all,24.5,0.263871962706781
baseline,ColorCounting,6,all,25.0,0.33428511414517
baseline,ColorCounting,6,all,25.5,0.2835849370219855
baseline,ColorCounting,6,all,26.0,0.2065073706298041
baseline,ColorCounting,6,all,26.5,0.2535833078899719
baseline,ColorCounting,6,all,27.0,0.2543036314967554
baseline,ColorCounting,6,all,27.5,0.2814923714007311
baseline,ColorCounting,6,all,28.0,0.3035001939342309
baseline,ColorCounting,6,all,28.5,0.3121879848603777
baseline,ColorCounting,6,all,29.0,0.2401391605885021
baseline,ColorCounting,6,all,29.5,0.2858538303682784
baseline,ColorCounting,6,all,30.0,0.2383912687475631
baseline,ColorCounting,6,all,30.5,0.3105981905565081
baseline,ColorCounting,6,all,31.0,0.1626380326450641
baseline,ColorCounting,6,all,31.5,0.2775245538274155
baseline,ColorCounting,6,all,32.0,0.2073608182502553
baseline,ColorCounting,6,all,32.5,0.1327171039346604
baseline,ColorCounting,6,all,33.0,0.1322417372772158
baseline,ColorCounting,6,all,33.5,0.1693996059073368
baseline,ColorCounting,6,all,34.0,0.1569495093249324
baseline,ColorCounting,6,all,34.5,0.1360528957606867
baseline,ColorCounting,6,all,35.0,0.12236699042637
baseline,ColorCounting,6,all,35.5,0.1318446924363351
baseline,ColorCounting,6,all,36.0,0.1162278219250795
baseline,ColorCounting,6,all,36.5,0.0918216700699965
baseline,ColorCounting,6,all,37.0,0.089018446174916
baseline,ColorCounting,6,all,37.5,0.0738210674959707
baseline,ColorCounting,6,all,38.0,0.0404763633518933
baseline,ColorCounting,6,all,38.5,0.0342598728465015
baseline,ColorCounting,6,all,39.0,0.0200443414095165
baseline,ColorCounting,6,all,39.5,0.0185325686725469
baseline,ColorCounting,6,all,40.0,0.0217909062438883
baseline,ColorCounting,7,all,0.5,0.3897280796536139
baseline,ColorCounting,7,all,1.0,5.091404578482237
baseline,ColorCounting,7,all,1.5,5.473850420779165
baseline,ColorCounting,7,all,2.0,2.9280116899785584
baseline,ColorCounting,7,all,2.5,1.8869093047661345
baseline,ColorCounting,7,all,3.0,2.4838686423915752
baseline,ColorCounting,7,all,3.5,2.421960244131782
baseline,ColorCounting,7,all,4.0,1.0626178176195689
baseline,ColorCounting,7,all,4.5,0.8640534202754261
baseline,ColorCounting,7,all,5.0,1.3479120690422388
baseline,ColorCounting,7,all,5.5,0.9492108288142318
baseline,ColorCounting,7,all,6.0,0.8191839662634526
baseline,ColorCounting,7,all,6.5,0.380744721260646
baseline,ColorCounting,7,all,7.0,0.322567697018181
baseline,ColorCounting,7,all,7.5,0.3294981608700918
baseline,ColorCounting,7,all,8.0,0.4405106301826815
baseline,ColorCounting,7,all,8.5,0.2080806247876705
baseline,ColorCounting,7,all,9.0,0.2088242339573689
baseline,ColorCounting,7,all,9.5,0.3137141725059191
baseline,ColorCounting,7,all,10.0,0.3025125232225917
baseline,ColorCounting,7,all,10.5,0.3086574039877358
